"myAUC"	"avg_diff"	"power"	"pct.1"	"pct.2"
"NHS"	0.158	-2.2240607697473	0.684	0.292	0.846
"IRX1/2/3/5"	0.842	1.86866413877325	0.684	0.639	0.108
"DDR/1/2"	0.159	-1.74148010835582	0.682	0.424	0.862
"KH2013:KH.C5.48"	0.16	-3.38823181473145	0.68	0.09	0.723
"PARD3"	0.162	-1.61118498062522	0.676	0.507	0.877
"SPRY1/2/3/4"	0.838	1.39963662162337	0.676	0.896	0.292
"MCU"	0.838	1.66496734468494	0.676	0.875	0.385
"MYF5"	0.837	2.60894592678898	0.674	0.75	0.123
"KH2013:KH.C11.482"	0.164	-1.49320559903309	0.672	0.625	0.923
"KH2013:KH.C2.1142"	0.836	2.89875407440614	0.672	0.694	0.031
"NUS1"	0.835	1.55714419873551	0.67	0.896	0.385
"FOXP1/2/4"	0.166	-2.17463638760455	0.668	0.167	0.769
"KCNJ12/14/18/2/4"	0.833	2.94687095891659	0.666	0.743	0.2
"KH2013:KH.C3.354"	0.832	1.54117979819872	0.664	0.868	0.338
"DGKH"	0.831	1.47976113152378	0.662	0.785	0.169
"NAB1/2"	0.829	1.3548452569783	0.658	0.938	0.492
"TMSB15B1/2"	0.829	1.82818206292665	0.658	0.764	0.154
"SPSB1/4"	0.172	-1.48112668360491	0.656	0.903	0.985
"PLEKHA4/5/6"	0.173	-2.88629519299303	0.654	0.083	0.708
"MYO-1/2/3/5"	0.827	2.45249445623015	0.654	0.625	0.031
"KH2013:KH.C2.436_FUT8"	0.174	-2.55085146676644	0.652	0.167	0.738
"ADD1/2/3"	0.174	-1.4149587362441	0.652	0.729	0.908
"CISH"	0.174	-2.68855540094651	0.652	0.097	0.723
"SERPINB6C"	0.826	2.57749128357541	0.652	0.715	0.092
"KH2013:KH.C2.769"	0.826	2.26658659720021	0.652	0.674	0.062
"Ci-tune"	0.175	-1.44157333718915	0.65	0.639	0.908
"CAPN1/11/2/3/8/9"	0.825	1.461264381307	0.65	0.944	0.585
"KH2013:KH.C12.84_TRIM2"	0.176	-1.26059202153212	0.648	0.681	0.938
"ACVR1B"	0.176	-1.4132377555048	0.648	0.722	0.923
"KH2013:KH.C3.414_UBE2J1"	0.824	1.8354061979355	0.648	0.819	0.231
"KH2013:KH.L141.42_CILP/2"	0.824	3.2539305645586	0.648	0.674	0.046
"RBMS1/2/3"	0.179	-1.11726712110256	0.642	0.757	0.969
"HES1/2/4"	0.18	-1.83995811331138	0.64	0.062	0.677
"ATF3"	0.819	2.15067238762948	0.638	0.715	0.092
"GAL3ST1/4"	0.182	-3.02315370252009	0.636	0.146	0.708
"COL6A1/2/3/5/6"	0.818	3.66441551455904	0.636	0.646	0.031
"KAT6B"	0.183	-1.24606803135478	0.634	0.681	0.938
"IGF1/2"	0.183	-3.07026205347554	0.634	0.097	0.692
"CALML6"	0.817	3.79310092060206	0.634	0.667	0.046
"KH2013:KH.C9.319_PKD2"	0.817	1.59740622259247	0.634	0.847	0.415
"ZFPM1/2"	0.186	-3.31192163827747	0.628	0.042	0.554
"DCTN6"	0.187	-1.66922836032589	0.626	0.576	0.877
"SEPT12/3/9"	0.812	1.2882948255059	0.624	0.91	0.4
"ANO1/3/4/5/6/7"	0.811	2.9978283521782	0.622	0.653	0.046
"KH2013:KH.L96.80_SLC5A12/8"	0.189	-3.89243679133782	0.622	0.056	0.646
"CALD1"	0.808	1.10183957057603	0.616	0.958	0.785
"KH2013:KH.C8.489_SI:DKEY-29D8.3"	0.192	-1.96597434279888	0.616	0.306	0.785
"KH2013:KH.L116.40_ATP2A1/2"	0.192	-1.23255412859565	0.616	0.826	0.985
"FREM2/3"	0.193	-2.59901935660058	0.614	0.056	0.646
"KH2013:KH.C10.124"	0.804	1.88269608526578	0.608	0.674	0.108
"KCNH2/6/7"	0.197	-2.7557237600588	0.606	0.125	0.692
"KH2013:KH.C14.206_IRC24"	0.197	-1.45401931294449	0.606	0.569	0.877
