"myAUC"	"avg_diff"	"power"	"pct.1"	"pct.2"
"ECE1/2"	0.273	-1.01845784658234	0.454	0.549	0.84
"YKR070W"	0.727	1.20467242956019	0.454	0.847	0.66
"CG5639"	0.274	-1.00734240016545	0.452	0.438	0.799
"KH2013:KH.L170.56_C2ORF89"	0.725	1.62098636980235	0.45	0.528	0.153
"KH2013:KH.S1442.1"	0.725	1.47516875635544	0.45	0.715	0.403
"KH2013:KH.C10.1"	0.276	-1.37609552734841	0.448	0.215	0.604
"LRTM1/2"	0.277	-1.66250675024886	0.446	0.104	0.535
"KH2013:KH.C5.433"	0.28	-1.49477362815525	0.44	0.111	0.535
"SYNE1/2"	0.718	1.18295675999775	0.436	0.833	0.785
"SLC4A10/7/8"	0.718	1.04128714624126	0.436	0.861	0.597
"OTUD3"	0.283	-1.17490174413215	0.434	0.229	0.653
"KH2013:KH.C8.649_ACTA1/2"	0.283	-1.78130816385219	0.434	0.493	0.757
"PARD3"	0.717	1.20035755602401	0.434	0.75	0.507
"BX005256.5"	0.714	1.70206432143298	0.428	0.708	0.458
"KH2013:KH.C12.669_PHEX"	0.287	-1.30718295840178	0.426	0.25	0.66
"KH2013:KH.L13.12_EML1/2/4"	0.29	-1.06245667866729	0.42	0.34	0.708
"KH2013:KH.C5.110_RPN2"	0.291	-1.10130966525731	0.418	0.153	0.556
"KH2013:KH.C9.366"	0.294	-1.1011786969506	0.412	0.292	0.66
"NRBP1/2"	0.706	1.11437341847337	0.412	0.861	0.681
"KH2013:KH.C9.384_MYLK"	0.296	-1.92048841908288	0.408	0.153	0.528
"KH2013:KH.L116.92_ATP2A1/2"	0.296	-1.1803753414165	0.408	0.618	0.771
"PLEK/2"	0.704	2.28309205037081	0.408	0.507	0.139
"Y56A3A.30"	0.703	1.02578847859867	0.406	0.785	0.535
"KH2013:KH.C11.322_SLC17A5"	0.7	1.15611188360866	0.4	0.681	0.465
"SOX11/12/4"	0.7	1.07168455736064	0.4	0.743	0.493
"KH2013:KH.C6.138"	0.301	-1.65644022232874	0.398	0.132	0.514
"MYO18A"	0.699	1.02081404737277	0.398	0.812	0.708
"LGALS4/8/9"	0.302	-1.98350742139776	0.396	0.132	0.507
"KH2013:KH.C9.101"	0.698	1.38904304216006	0.396	0.632	0.312
"PLEKHG4"	0.696	1.06258358609024	0.392	0.764	0.604
"KH2013:KH.C7.476_CHRNB1"	0.305	-1.65796471209564	0.39	0.181	0.535
"PDE1C"	0.69	1.24577055567107	0.38	0.646	0.361
"RGS17/18/19/20"	0.311	-1.27082385936785	0.378	0.167	0.528
"RGS12"	0.312	-1.15952748358336	0.376	0.153	0.535
"ASS1"	0.313	-1.05857697975074	0.374	0.229	0.583
"Ci-Actin;"	0.314	-1.44131752085694	0.372	0.701	0.812
"KH2013:KH.S725.5"	0.685	1.46231581789566	0.37	0.625	0.361
"KH2013:KH.C2.668_SLC38A9"	0.684	1.30682831047378	0.368	0.611	0.34
"KH2013:KH.C3.232"	0.684	1.03449282606403	0.368	0.826	0.653
"KH2013:KH.C9.40_GSTO1/2"	0.684	1.68122666436996	0.368	0.542	0.222
"PNPLA2/3/5"	0.683	1.52879615803237	0.366	0.514	0.167
"PHLDA2/3"	0.68	1.07956104533802	0.36	0.743	0.528
"ODZ1/2/3/4"	0.68	1.18587307876521	0.36	0.729	0.528
"KH2013:KH.C1.44"	0.322	-1.25647658262777	0.356	0.299	0.583
"KH2013:KH.C11.542_CD63"	0.674	1.03886989447862	0.348	0.674	0.396
"ANK1/2/3"	0.671	1.71137055612331	0.342	0.521	0.257
"PXDN"	0.665	1.12040501527187	0.33	0.528	0.243
"TNFAIP8L1/2/3"	0.335	-1.1341777185883	0.33	0.181	0.507
"CELF3/4/5/6"	0.663	1.25917461698816	0.326	0.514	0.222
"DACH1/2"	0.661	1.42661556991095	0.322	0.535	0.271
"KH2013:KH.C1.638_C17ORF105"	0.658	1.09935427516872	0.316	0.583	0.361
"KH2013:KH.C6.222"	0.344	-1.1893045206176	0.312	0.25	0.535
"BTB-17"	0.653	1.50688474020393	0.306	0.514	0.243
"KH2013:KH.C10.566"	0.652	1.46960753860901	0.304	0.542	0.299
"MYOC"	0.652	1.28337387872367	0.304	0.521	0.25
"GM1840"	0.638	1.01018439931317	0.276	0.646	0.514
"GGT1/2"	0.621	1.37914513860689	0.242	0.521	0.354
"AGAP1/2/3/9"	0.619	1.04270541935901	0.238	0.521	0.368
"KH2013:KH.C4.467_MUP1/3"	0.619	1.04890283043085	0.238	0.507	0.333
"TBX1/10"	0.614	1.21726634954896	0.228	0.521	0.368
"KH2013:KH.C1.421_ABAT"	0.611	1.06099296867352	0.222	0.535	0.375
"ZNRD1"	0.41	1.4478646519456	0.18	0.347	0.542
"MICALL1/2"	0.415	-2.4169887376953	0.17	0.333	0.514
"DUSP1/2/4/5"	0.574	1.01552963900008	0.148	0.569	0.583
"NTAN1"	0.437	-1.26227943366016	0.126	0.757	0.903
"PSMD14"	0.494	-4.22538227785673	0.012	0.882	0.924
